EmployeeNo,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10011,Salcedo,Anthony,09/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,1.26E+11,210-805-911-000,2.18E+11,Regular,Payroll Manager,Roderick Alvaro,50825,1500,1000,1000,25413,303
10012,Lopez,Josie,01/14/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,432000000000,218-489-737-000,113000000000,Regular,Payroll Team Leader,Anthony Salcedo,38475.0,1500.0,800.0,800.0,19238.0,229.0
10013,Farala,Martha,11/01/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ,329-034-366,45-5656375-0,2.34E+11,210-835-851-000,6.31E+11,Regular,Payroll Rank and File,Anthony Salcedo,24000,1500,500,500,12000,143
10014,Martinez,Leila,11/07/1970,37/46 Kulas Roads Maragondon 0962 Quirino ,877-110-749,27-2090996-4,5.16E+11,275-792-513-000,1.01E+11,Regular,Payroll Rank and File,Anthony Salcedo,24000,1500,500,500,12000,143
10015,Romualdez,Fredrick ,10/03/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,26-8768374-1,3.08E+11,598-065-761-000,2.23E+11,Regular,Account Manager,Antonio Lim,53500,1500,1000,1000,26750,318
10016,Mata,Christian,10/21/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ,783-776-744,49-2959312-6,8.24E+11,103-100-522-000,6.31E+11,Regular,Account Team Leader,Fredrick Romualdez ,42975,1500,800,800,21488,256
10017,De Leon,Selena ,02/20/1975,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,27-2090208-8,5.87E+11,482-259-498-000,7.19E+11,Regular,Account Team Leader,Fredrick Romualdez  ,41850,1500,800,800,20925,249
10018,San Jose,Allison ,06/24/1986,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,45-3251383-0,7.45E+11,121-203-336-000,1.15E+11,Regular,Account Rank and File,Christian Mata,22500,1500,500,500,11250,134
10019,Rosario,Cydney ,06/10/1996,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,49-1629900-2,5.79E+11,122-244-511-000,2.65E+11,Regular,Account Rank and File,Christian Mata,22500,1500,500,500,11250,134
10020,Bautista,Mark ,12/02/1991,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,49-1647342-5,4.00E+11,273-970-941-000,2.60E+11,Regular,Account Rank and File,Christian Mata,23250,1500,500,500,11625,138
10022,Delos Santos,Kolby ,02/26/1980,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,52-0109570-6,3.57E+11,187-500-345-000,1.13E+11,Probationary,Account Rank and File,Christian Mata,24000,1500,500,500,12000,143
10023,Santos,Vella ,12/31/1983,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,52-9883524-3,5.49E+11,101-558-994-000,3.60E+11,Probationary,Account Rank and File,Christian Mata,22500,1500,500,500,11250,134
10024,Del Rosario,Tomas,12/18/1978,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,45-5866331-6,9.54E+11,560-735-732-000,9.13E+11,Probationary,Account Rank and File,Christian Mata,22500,1500,500,500,11250,134
10025,Tolentino,Jacklyn ,05/19/1984,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,47-1692793-0,7.54E+11,841-177-857-000,2.11E+11,Probationary,Account Rank and File,Selena De Leon,24000,1500,500,500,12000,143
10026,Gutierrez,Percival ,12/18/1970,58A Wilderman Walks Poblacion Digos 5822 Davao del Sur,512-899-876,40-9504657-8,7.98E+11,502-995-671-000,2.11E+11,Probationary,Account Rank and File,Selena De Leon,24750,1500,500,500,12375,147
10027,Manalaysay,Garfield ,08/28/1986,60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur,948-628-136,45-3298166-4,8.11E+11,336-676-445-000,2.11E+11,Probationary,Account Rank and File,Selena De Leon,24750,1500,500,500,12375,147
10028,Villegas,Lizeth ,12/12/1981,66/77 Mann Views Luisiana 1263 Dinagat Islands,332-372-215,40-2400719-4,9.34E+11,210-395-397-000,1.22E+11,Probationary,Account Rank and File,Selena De Leon,24000,1500,500,500,12000,143
10029,Ramos,Carol ,08/20/1978,72/70 Stamm Spurs Bustos 4550 Iloilo,250-700-389,60-1152206-4,3.52E+11,395-032-717-000,2.12E+11,Probationary,Account Rank and File,Selena De Leon,22500,1500,500,500,11250,134
10030,Maceda,Emelia ,04/14/1973,50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija,973-358-041,54-1331005-0,4.65E+11,215-973-013-000,5.15E+11,Probationary,Account Rank and File,Selena De Leon,22500,1500,500,500,11250,134
10031,Aguilar,Delia ,01/27/1989,95 Cremin Junction Surallah 2809 Cotabato,529-705-439,52-1859253-1,1.36E+11,599-312-588-000,1.10E+11,Probationary,Account Rank and File,Selena De Leon,22500,1500,500,500,11250,134
10032,Castro,John Rafael,09/02/1992,Hi-way Yati Liloan Cebu,332-424-955 ,26-7145133-4,6.02E+11,404-768-309-000,6.98E+11,Regular,Sales & Marketing,Isabella Reyes,52670,1500,1000,1000,26335,314
10033,Martinez,Carlos Ian,11/16/1990,Bulala Camalaniugan,078-854-208,11-5062972-7,3.81E+11,256-436-296-000,9.93E+11,Regular,Supply Chain and Logistics,Isabella Reyes,52670,1500,1000,1000,26335,314
10034,Santos,Beatriz,07/08/1990,Agapita Building Metro Manila,526-639-511,20-2987501-5,9.18E+11,911-529-713-000,8.74E+11,Regular,Customer Service and Relations,Isabella Reyes,52670,1500,1000,1000,26335,314
